variant,ndcg_at_5,mrr_at_5,recall_at_5,recall_efficiency_at_5,precision_at_5,hit_rate_at_5,ndcg_at_10,mrr_at_10,recall_at_10,recall_efficiency_at_10,precision_at_10,hit_rate_at_10
bm25_score,0.06291672918851327,0.13333333333333333,0.025984275705377854,0.05333333333333334,0.04000000000000001,0.18333333333333332,0.05042322858859317,0.1357142857142857,0.02804089963700179,0.04071428571428571,0.025,0.2
dense_score,0.030965036887005047,0.05694444444444444,0.007317819192819192,0.02666666666666667,0.02666666666666667,0.11666666666666667,0.027994865268278303,0.0587962962962963,0.012508600633600632,0.021666666666666667,0.021666666666666667,0.13333333333333333
hybrid_score,0.05287247651503572,0.09305555555555554,0.024255213872149354,0.04666666666666666,0.03333333333333333,0.13333333333333333,0.049831221845028466,0.10404761904761903,0.030344158519561747,0.04666666666666667,0.03166666666666667,0.21666666666666667
