scenario,trials,success_rate,ndcg_at_10_mean,ndcg_at_10_std,ndcg_at_10_p05,ndcg_at_10_p95,mrr_at_10_mean,mrr_at_10_std,mrr_at_10_p05,mrr_at_10_p95,recall_at_10_mean,recall_at_10_std,recall_at_10_p05,recall_at_10_p95,recall_efficiency_at_10_mean,recall_efficiency_at_10_std,recall_efficiency_at_10_p05,recall_efficiency_at_10_p95,hit_rate_at_10_mean,hit_rate_at_10_std,hit_rate_at_10_p05,hit_rate_at_10_p95,ece_mean,ece_std,ece_p05,ece_p95,brier_mean,brier_std,brier_p05,brier_p95,p95_latency_ms_mean,p95_latency_ms_std,p95_latency_ms_p05,p95_latency_ms_p95,long_tail_recall_at_10_mean,long_tail_recall_at_10_std,long_tail_recall_at_10_p05,long_tail_recall_at_10_p95,cold_start_recall_at_10_mean,cold_start_recall_at_10_std,cold_start_recall_at_10_p05,cold_start_recall_at_10_p95,ranker_ndcg_lift_vs_hybrid_mean,ranker_ndcg_lift_vs_hybrid_std,ranker_ndcg_lift_vs_hybrid_p05,ranker_ndcg_lift_vs_hybrid_p95,item_popularity_gini_mean,item_popularity_gini_std,item_popularity_gini_p05,item_popularity_gini_p95,tag_coverage_mean,tag_coverage_std,tag_coverage_p05,tag_coverage_p95,rating_mean_mean,rating_mean_std,rating_mean_p05,rating_mean_p95,rating_std_mean,rating_std_std,rating_std_p05,rating_std_p95,preference_rating_correlation_mean,preference_rating_correlation_std,preference_rating_correlation_p05,preference_rating_correlation_p95,similar_to_self_return_at_10_mean,similar_to_self_return_at_10_std,similar_to_self_return_at_10_p05,similar_to_self_return_at_10_p95,visual_query_ndcg_at_10_mean,visual_query_ndcg_at_10_std,visual_query_ndcg_at_10_p05,visual_query_ndcg_at_10_p95,visual_query_hybrid_ndcg_all_mean,visual_query_hybrid_ndcg_all_std,visual_query_hybrid_ndcg_all_p05,visual_query_hybrid_ndcg_all_p95,mood_decade_ndcg_at_10_mean,mood_decade_ndcg_at_10_std,mood_decade_ndcg_at_10_p05,mood_decade_ndcg_at_10_p95,label_disagreement_rate_mean,label_disagreement_rate_std,label_disagreement_rate_p05,label_disagreement_rate_p95,param_popularity_alpha_mean,param_popularity_alpha_std,param_popularity_alpha_p05,param_popularity_alpha_p95,param_preference_strength_mean,param_preference_strength_std,param_preference_strength_p05,param_preference_strength_p95,param_rating_noise_mean,param_rating_noise_std,param_rating_noise_p05,param_rating_noise_p95,param_tag_observation_prob_mean,param_tag_observation_prob_std,param_tag_observation_prob_p05,param_tag_observation_prob_p95,param_exploration_rate_mean,param_exploration_rate_std,param_exploration_rate_p05,param_exploration_rate_p95,param_cold_start_fraction_mean,param_cold_start_fraction_std,param_cold_start_fraction_p05,param_cold_start_fraction_p95,param_label_noise_mean,param_label_noise_std,param_label_noise_p05,param_label_noise_p95,pass_or_review_rate
high_noise,10,1.0,0.6947685965923982,0.06052360500939506,0.6044483684042363,0.7815143806097206,0.9196969696969696,0.054016798393866326,0.85,1.0,0.33198358087608737,0.035080329518079226,0.2804415369802752,0.37511458587031354,0.6582626262626262,0.07055599733779248,0.5670000000000001,0.7672727272727272,1.0,0.0,1.0,1.0,0.11116335690813939,0.024378750764105596,0.07374689812856228,0.14214615202766162,0.17645371224925174,0.016772228565563,0.14979781066379516,0.19702770208614456,34.032920502941124,6.898412428262378,25.46804525249172,46.22877574947779,0.3114904893086711,0.05946985991800568,0.239232683982684,0.39681277056277053,0.3345143097643098,0.12393066764473232,0.1883522727272727,0.5208333333333334,0.15648776369599074,0.05574682471818837,0.08575857153849868,0.241034045101458,0.47840083333333344,0.023346009785757092,0.44795416666666676,0.51427,0.8616666666666666,0.038586123009300755,0.81125,0.9191666666666666,2.94735,0.04682216355530786,2.8759625,3.00645,1.3842131520556682,0.02174561190428422,1.3521106755252998,1.4110200361580125,0.07379077203047443,0.018636942748668398,0.05096384561288215,0.10634196844502812,0.0,0.0,0.0,0.0,0.8275521886421501,0.14157689812647697,0.602844988418147,0.9700682556981299,0.7094950427766905,0.09112991645912269,0.5716226641191561,0.8307071512148808,0.6103565211381988,0.14272388582334833,0.4372756014068568,0.8077764907496966,0.34301666666666664,0.011568503696579675,0.32761666666666667,0.359325,1.0375198739750449,0.0332586794776013,0.9845511263882931,1.076911795170497,0.44768038845558794,0.015028710629447807,0.4270623729703263,0.4668949756121899,1.79872119398594,0.06411755955948581,1.7164168128201405,1.8932039371769336,0.2930681497491051,0.013166354449530304,0.2730702103195662,0.30942614486459613,0.358089300540344,0.008007264795560663,0.3466041689111482,0.3686051014101566,0.08015245777567387,0.01199052983311368,0.06601581505465584,0.09686931197548254,0.3536058615306273,0.010908255722948481,0.33871291762820094,0.3698664985046514,1.0
long_tail_skew,10,1.0,0.6907818972324872,0.058772417249434245,0.6013286131050443,0.7520322163577332,0.891004329004329,0.09267011670119374,0.7420238095238095,1.0,0.3250904623545985,0.030377535317617707,0.2795139428328619,0.3690654465706074,0.6445757575757576,0.07200135826695563,0.5171666666666667,0.72,1.0,0.0,1.0,1.0,0.15279348490449274,0.03809434767971151,0.10970103007845014,0.21427347359639767,0.18975812807572065,0.028228659046794342,0.14937030925762826,0.23009450172931079,35.81778300118458,6.528930188427306,27.859063000942115,46.2481024997396,0.2973562317312317,0.08620724518899923,0.16702380952380952,0.40020894383394373,0.3245484013813714,0.04132856511168874,0.268797136891386,0.39433368503477195,0.16296823791443407,0.0689814430458347,0.05114169520141591,0.22643056250584018,0.8442466666666666,0.022260331309304434,0.81374,0.8765891666666666,0.8625,0.026418112473578923,0.82875,0.9016666666666666,2.978475,0.0979073828932221,2.8143625,3.0993375,0.8341676811764815,0.03042990766419889,0.7825702156751321,0.8754763204988867,0.188374641170527,0.019102947834761116,0.15867297328355137,0.21098612090205987,0.0,0.0,0.0,0.0,0.8377935816245634,0.08901956004279198,0.7101075005072817,0.9729077224176036,0.6657194383578534,0.11342322896870596,0.5331310728061285,0.8558079314202403,0.5008517334961571,0.12277962547702524,0.35551799084255903,0.6929596567337958,0.21268333333333334,0.010142991559583292,0.19656666666666667,0.226725,1.531576956820304,0.04909614589550665,1.453384996097004,1.5897269357278763,1.2932988999828097,0.04341627515173804,1.2337357441364984,1.348807707324104,0.7994316417715289,0.028496693137549257,0.7628519168089513,0.8414239720786372,0.34306814974910516,0.013166354449530305,0.3230702103195662,0.3594261448645961,0.06808930054034398,0.008007264795560666,0.05660416891114822,0.07860510141015666,0.14015245777567387,0.01199052983311368,0.12601581505465587,0.15686931197548254,0.02360586153062731,0.010908255722948483,0.008712917628200945,0.03986649850465143,1.0
nominal,10,1.0,0.7674150561821905,0.055209938975086026,0.6830858076010289,0.8284915013295014,0.9276623376623376,0.03851400587141922,0.8713095238095238,0.9795454545454545,0.38225811094217493,0.029031544907223587,0.33091490290755,0.41681943045238773,0.744090909090909,0.05074852927071379,0.6586363636363636,0.8054999999999999,1.0,0.0,1.0,1.0,0.13694115709753443,0.024539187788296408,0.10771153933222676,0.17868662160429788,0.1733610697311775,0.022042791273764687,0.14547545049445126,0.20766860748028945,37.6035564961785,7.702427281877932,29.250773990024754,50.01808749773772,0.3363865488344097,0.05708242638745961,0.26468049189372717,0.420345238095238,0.3426374090852701,0.05837650281555533,0.2557398469029485,0.4139960317460317,0.2289511849350503,0.06483963330366205,0.14593302202183886,0.33090941632202286,0.6230716666666667,0.025931049385287543,0.5937654166666667,0.66851125,0.9433333333333331,0.02034425935955617,0.9120833333333334,0.9720833333333333,2.9618499999999996,0.05865366569959629,2.8757375,3.043675,0.7582546865977362,0.028583891562747547,0.7141225727432546,0.7959401249797862,0.209185567635765,0.024429966353540646,0.16940351921812405,0.24252238767063639,0.0,0.0,0.0,0.0,0.9589808202301893,0.05633805302562953,0.8662104065411855,1.0,0.7132562451220917,0.12861711490852987,0.5712439096151442,0.9022687133850008,0.6919823292546241,0.17198870139858177,0.4732439841991037,0.9443889407584499,0.16673333333333334,0.009683950066418605,0.15305,0.17925833333333335,1.0375198739750449,0.0332586794776013,0.9845511263882931,1.076911795170497,1.3430411653667638,0.045086131888343386,1.2811871189109791,1.4006849268365695,0.6995026865500877,0.024934606495355574,0.6674954272078324,0.7362459755688074,0.4430681497491052,0.013166354449530305,0.4230702103195662,0.45942614486459615,0.12808930054034398,0.008007264795560666,0.11660416891114822,0.13860510141015664,0.08015245777567387,0.01199052983311368,0.06601581505465584,0.09686931197548254,0.006547616714841577,0.00783120820158638,0.0,0.019866498504651435,1.0
sparse_metadata,10,1.0,0.6225876256892857,0.01972805011738419,0.6024649495210007,0.659485437588704,0.8807727272727272,0.06118257800419715,0.7995833333333333,0.9774999999999999,0.2999957609987406,0.01377521607735553,0.28125758048841576,0.31893927649801923,0.6024267676767676,0.045672821101154094,0.5469444444444445,0.6675,0.99,0.029999999999999992,0.9450000000000001,1.0,0.15648241108830382,0.023445077035936547,0.12597469762352576,0.18860028308693416,0.18748684643581445,0.018709265604894224,0.1583543520072638,0.21112794075463423,31.18044950235344,4.594431794068071,24.787690749762987,38.56509799978084,0.2883278943278943,0.09935408013574909,0.13164285714285714,0.435938492063492,0.2956397491397491,0.08686374833200394,0.1798045288045288,0.4399742063492063,0.18009407075211598,0.02323729603417796,0.14405590596339077,0.21247585904777125,0.6301491666666668,0.029248807774847833,0.5947295833333334,0.6798995833333333,0.6533333333333334,0.034999999999999996,0.6029166666666667,0.7062499999999999,2.9586,0.06201211575168198,2.8706,3.04315,0.8833655764308175,0.03116807617334044,0.8357702963031483,0.9273235847501072,0.17329785315287266,0.014795472921484209,0.1464717714601621,0.18913735659370798,0.0,0.0,0.0,0.0,0.6485628959084061,0.1899741138949905,0.33705606897558715,0.8769356487840119,0.5755962511826141,0.06147894347631503,0.47769103751290626,0.6623224128578802,0.4793236152633019,0.09707020055295795,0.35263910984510866,0.6334981085561839,0.22648333333333331,0.00809267501441204,0.21340833333333334,0.23474166666666665,1.0869255822595707,0.0348424261193918,1.0314345133591643,1.1281933092262348,1.1938143692149012,0.040076561678527425,1.1388329945875368,1.2450532682991728,0.8493961193822495,0.03027773645864607,0.8105301616095107,0.8940129703335519,0.07306814974910517,0.013166354449530302,0.053070210319566186,0.0894261448645961,0.158089300540344,0.008007264795560668,0.14660416891114822,0.16860510141015667,0.10015245777567387,0.011990529833113684,0.08601581505465584,0.11686931197548255,0.033605861530627314,0.010908255722948484,0.01871291762820094,0.049866498504651434,1.0
